Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,07/10/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Bulgaria,BGR,"GDP per capita, PPP (constant 2021 international $)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14955.07626,13828.35052,12961.13817,12871.54902,13150.13553,13586.8761,14368.0358,12415.28721,12971.99164,11949.65949,12559.69627,13302.12005,14392.25758,15266.45219,16383.56022,17672.20947,19018.27502,20433.51779,21838.75674,21244.21523,21717.1282,22313.67824,22611.35745,22946.83326,23447.75458,24554.55559,25628.29738,26682.96313,27741.09709,29201.5127,28547.35003,30973.69421,32435.0146,33141.84442,34085.1953
Bahrain,BHR,"GDP per capita, PPP (constant 2021 international $)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41856.54451,47644.02347,49511.9474,54433.13751,52886.5789,53537.68289,54289.43804,54512.85511,55638.69359,56522.22619,57968.99561,57280.69867,55096.65716,54431.87636,54045.09289,53478.26624,52691.93234,52731.79217,52765.38995,50665.75075,50704.84797,53132.32842,54516.84066,55376.40051,55065.81895,54149.91315,54107.07522,53859.77496,54893.07244,56749.96284,53814.24526,54954.67579,57572.99798,57819.90518,59129.14068
"Bahamas, The",BHS,"GDP per capita, PPP (constant 2021 international $)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33072.07655,31148.82703,29412.80662,28955.27833,29346.28678,30128.11788,30907.74317,30838.94734,31836.44653,33657.72005,34597.07522,35072.27781,35610.5892,34740.6763,34617.71817,35365.37757,35789.04232,35797.02906,34497.94849,32630.18111,32711.37709,32535.5808,33667.49761,32402.83497,32712.66137,32777.39561,32172.22915,33049.8728,33650.23692,33202.35458,26452.52516,31064.68222,34342.79041,35221.31027,36244.03605
Bosnia and Herzegovina,BIH,"GDP per capita, PPP (constant 2021 international $)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2413.275529,2182.926614,2150.320257,2281.263368,2657.073317,3089.529848,4567.728348,6019.307316,6897.402974,7479.25014,7828.352144,7980.327406,8364.394606,8707.565802,9342.264814,9811.774878,10427.54817,11175.40207,11980.42977,11823.40301,12139.528,12484.22065,12623.45977,13132.11101,13455.15778,14220.36046,14873.92356,15554.95443,16349.07355,17029.62088,16747.3534,18286.72263,19298.18116,19804.98412,20429.70073
Belarus,BLR,"GDP per capita, PPP (constant 2021 international $)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12351.63571,12197.78779,11002.60176,10143.98401,8967.730726,8061.196035,8314.856562,9301.32717,10128.15605,10519.74892,11182.45484,11771.0872,12443.93226,13413.92656,15052.11821,16579.87316,18349.8719,20019.61116,22137.94729,22236.83877,24012.6133,25404.7566,25879.13194,26147.62536,26564.43472,25513.21329,24846.83015,25503.98099,26363.46298,26798.82064,26731.49538,27611.18011,26537.50831,27782.43801,29037.52914
Belize,BLZ,"GDP per capita, PPP (constant 2021 international $)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8243.732655,9019.605755,9957.971103,10356.67091,10136.44658,9958.204291,9773.261398,9852.857267,9884.916623,10450.55264,11352.71912,11555.90721,11816.59761,12577.09715,12794.80586,12702.74198,12900.11138,12962.46689,12398.51256,12024.19647,11868.43824,11584.28516,11761.56391,12026.0711,12249.22142,12339.48074,12062.79817,11574.45245,11486.80294,11803.088,10032.5445,11677.46101,12569.81794,12455.29607,13277.93527
Bermuda,BMU,"GDP per capita, PPP (constant 2021 international $)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79747.4825,76365.04305,75766.6971,77503.46442,77470.29769,80427.24062,82122.78261,85380.83483,88034.81324,90290.56249,98019.93147,104560.8398,102559.7694,105642.9761,107803.1994,109335.3859,115170.8999,118691.07,115942.7272,108962.8169,105968.8751,101989.9273,96711.07397,96549.78748,93042.27331,93859.87695,93265.06754,96437.19144,95639.22673,95519.92069,88618.08307,92319.67149,98145.16894,103052.3484,105322.9112
Bolivia,BOL,"GDP per capita, PPP (constant 2021 international $)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5124.487981,5283.118255,5261.661678,5378.544097,5521.660254,5671.821583,5810.674457,5989.414319,6180.549689,6099.511522,6146.029294,6144.978295,6193.263475,6255.515583,6407.838118,6579.312289,6778.384925,6967.56988,7272.166242,7392.162593,7571.678092,7837.493188,8108.205188,8524.032134,8851.711628,9141.928409,9390.790638,9642.813957,9907.062567,9985.230485,9000.975652,9454.198147,9681.70743,9843.970142,9844.276852
Brazil,BRA,"GDP per capita, PPP (constant 2021 international $)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12633.28846,12546.5605,12271.97885,12669.42872,13202.9308,13550.43937,13641.6296,13896.62499,13737.70264,13602.41371,14005.34719,14016.13138,14265.90488,14259.36641,14911.26096,15221.01383,15657.47957,16440.58374,17113.36798,16939.44078,18062.15811,18627.81045,18832.21955,19241.50598,19183.17274,18357.06906,17620.92724,17724.47996,17917.74921,18018.62092,17327.51572,18075.706,18554.04618,19079.81221,19647.90963
Barbados,BRB,"GDP per capita, PPP (constant 2021 international $)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16976.76165,16264.92947,15286.35634,15362.72722,15636.1162,15925.52162,16543.32862,17320.36753,17963.13905,18017.69268,18851.57578,18380.25889,18404.14957,18689.34194,18845.24071,19488.00252,20571.81051,20899.99113,20922.40765,19770.52674,19253.40887,19050.56737,18936.08881,18695.68329,18665.17698,18464.66309,18754.66514,18740.34883,18484.69764,18572.50954,15749.03802,15683.88471,18469.57659,19224.46212,19945.73719
Brunei Darussalam,BRN,"GDP per capita, PPP (constant 2021 international $)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118163.6832,118220.6836,111457.2209,107899.1362,106239.2322,105043.8527,102522.1252,106503.4203,97171.63711,99083.32066,100323.44,99680.76248,101571.5838,103226.9143,101497.7547,99795.68512,102248.5104,96752.62026,91275.50014,87875.82823,88586.51319,90279.66334,89718.46366,86606.65172,83310.61506,81910.1884,78880.62291,78966.8643,78099.05077,80228.15966,80280.89795,78248.79711,76357.8291,76616.70148,79184.09204
Bhutan,BTN,"GDP per capita, PPP (constant 2021 international $)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3411.38376,3338.009418,3624.597815,3850.551287,4042.494178,4379.870467,4616.919792,4778.705117,4965.87646,5241.366638,5287.574347,5545.630551,5991.254976,6323.541195,6517.996833,6850.804416,7140.856091,8195.070745,8470.034716,9019.118613,9985.284555,10714.68657,11143.94454,11212.47943,11744.51891,12400.29832,13320.9759,13482.34253,13854.8544,14555.1884,12979.93695,13458.81267,14061.31203,14645.26563,
Botswana,BWA,"GDP per capita, PPP (constant 2021 international $)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10520.9184,11001.80136,11008.68102,10902.95128,10989.67005,11457.69944,11832.93878,12526.35224,12306.25048,13207.44735,13185.81715,12949.64031,13479.69607,13857.25883,13984.84151,14361.95763,15275.58288,15850.23435,16040.31532,13489.95092,14545.01981,15236.71888,14957.61891,16369.42529,17052.1924,15994.9643,16905.58874,17352.89584,17825.01857,18106.01054,16289.39136,17960.62544,18647.37346,18932.48027,18068.50507
Central African Republic,CAF,"GDP per capita, PPP (constant 2021 international $)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1481.252551,1427.690183,1294.202547,1257.828403,1278.915091,1334.10323,1247.968753,1278.488261,1302.751428,1313.235709,1245.813996,1272.857108,1290.383149,1191.873152,1236.285347,1219.593945,1251.870822,1284.552836,1283.272826,1402.681648,1479.413678,1517.148391,1577.980533,996.8963559,1001.855981,1043.921717,1073.944777,1103.866093,1125.700917,1145.095637,1136.57053,1128.55238,1136.801711,1132.676434,1111.653312
Canada,CAN,"GDP per capita, PPP (constant 2021 international $)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40475.11239,39139.31229,39023.1822,39622.47906,40952.13593,41617.72332,41880.5521,43241.24071,44553.28273,46464.54578,48399.30554,48774.16755,49695.00669,50139.78623,51210.67961,52356.5578,53195.78184,53761.86203,53711.67921,51552.42238,52558.44081,53681.12967,54034.80348,54712.17842,55723.48354,55660.86753,55606.15492,56612.32854,57337.49091,57583.8458,54092.87903,56995.11768,58321.06118,57517.44316,56691.90701
